"Year"    "Class"   "N"   "Nfruit"
1988    1   9   0
1988    2   26  0
1988    3   20  2
1988    4   24  2
1988    5   32  29
1988    6   3   4
1989    1   5   0
1989    2   27  1
1989    3   20  2
1989    4   21  8
1989    5   36  25
1989    6   4   13
1990    1   4   0
1990    2   23  0
1990    3   20  0
1990    4   17  2
1990    5   28  10
1990    6   6   6
1991    1   8   0
1991    2   17  1
1991    3   19  3
1991    4   17  7
1991    5   25  25
1991    6   14  30
1992    1   9   0
1992    2   12  1
1992    3   19  4
1992    4   17  19
1992    5   25  28
1992    6   14  39
