"Year"    "From.class"  "To.class"    "N"
1988    1   0   2
1988    1   1   4
1988    1   2   3
1988    1   3   0
1988    1   4   0
1988    1   5   0
1988    1   6   0
1988    2   0   3
1988    2   1   0
1988    2   2   19
1988    2   3   4
1988    2   4   0
1988    2   5   0
1988    2   6   0
1988    3   0   3
1988    3   1   0
1988    3   2   1
1988    3   3   11
1988    3   4   5
1988    3   5   0
1988    3   6   0
1988    4   0   1
1988    4   1   0
1988    4   2   1
1988    4   3   4
1988    4   4   11
1988    4   5   7
1988    4   6   0
1988    5   0   1
1988    5   1   0
1988    5   2   0
1988    5   3   0
1988    5   4   2
1988    5   5   28
1988    5   6   1
1988    6   0   0
1988    6   1   0
1988    6   2   0
1988    6   3   0
1988    6   4   0
1988    6   5   0
1988    6   6   3
1989    1   1   3
1989    1   2   1
1989    1   3   0
1989    1   4   0
1989    1   5   0
1989    1   6   0
1989    1   0   1
1989    2   1   0
1989    2   2   14
1989    2   3   2
1989    2   4   0
1989    2   5   0
1989    2   6   0
1989    2   0   11
1989    3   1   0
1989    3   2   2
1989    3   3   11
1989    3   4   2
1989    3   5   0
1989    3   6   0
1989    3   0   6
1989    4   1   0
1989    4   2   3
1989    4   3   3
1989    4   4   10
1989    4   5   3
1989    4   6   0
1989    4   0   2
1989    5   1   0
1989    5   2   0
1989    5   3   1
1989    5   4   5
1989    5   5   24
1989    5   6   4
1989    5   0   2
1989    6   1   0
1989    6   2   0
1989    6   3   0
1989    6   4   0
1989    6   5   1
1989    6   6   2
1989    6   0   1
1990    1   1   2
1990    1   2   0
1990    1   3   0
1990    1   4   0
1990    1   5   0
1990    1   6   0
1990    1   0   2
1990    2   1   0
1990    2   2   11
1990    2   3   5
1990    2   4   0
1990    2   5   0
1990    2   6   0
1990    2   0   7
1990    3   1   0
1990    3   2   2
1990    3   3   11
1990    3   4   4
1990    3   5   0
1990    3   6   0
1990    3   0   2
1990    4   1   0
1990    4   2   1
1990    4   3   2
1990    4   4   9
1990    4   5   6
1990    4   6   0
1990    4   0   0
1990    5   1   0
1990    5   2   0
1990    5   3   0
1990    5   4   1
1990    5   5   18
1990    5   6   8
1990    5   0   1
1990    6   1   0
1990    6   2   0
1990    6   3   0
1990    6   4   0
1990    6   5   0
1990    6   6   6
1990    6   0   0
1991    1   1   7
1991    1   2   1
1991    1   3   0
1991    1   4   0
1991    1   5   0
1991    1   6   0
1991    1   0   0
1991    2   1   2
1991    2   2   6
1991    2   3   1
1991    2   4   1
1991    2   5   0
1991    2   6   0
1991    2   0   8
1991    3   1   0
1991    3   2   2
1991    3   3   13
1991    3   4   3
1991    3   5   1
1991    3   6   0
1991    3   0   0
1991    4   1   0
1991    4   2   0
1991    4   3   3
1991    4   4   11
1991    4   5   2
1991    4   6   0
1991    4   0   0
1991    5   1   0
1991    5   2   0
1991    5   3   1
1991    5   4   1
1991    5   5   18
1991    5   6   5
1991    5   0   0
1991    6   1   0
1991    6   2   0
1991    6   3   0
1991    6   4   0
1991    6   5   4
1991    6   6   10
1991    6   0   0
1992    1   1   4
1992    1   2   0
1992    1   3   0
1992    1   4   0
1992    1   5   0
1992    1   6   0
1992    1   0   6
1992    2   1   0
1992    2   2   10
1992    2   3   0
1992    2   4   0
1992    2   5   0
1992    2   6   0
1992    2   0   1
1992    3   1   0
1992    3   2   3
1992    3   3   12
1992    3   4   0
1992    3   5   0
1992    3   6   0
1992    3   0   4
1992    4   1   0
1992    4   2   1
1992    4   3   5
1992    4   4   9
1992    4   5   1
1992    4   6   0
1992    4   0   0
1992    5   1   0
1992    5   2   0
1992    5   3   1
1992    5   4   3
1992    5   5   17
1992    5   6   2
1992    5   0   2
1992    6   1   0
1992    6   2   0
1992    6   3   0
1992    6   4   0
1992    6   5   3
1992    6   6   11
1992    6   0   1
