"PLANT"   "AREA85"  "AREA86"  "AREA87"  "AREA88"  "AREA89"
19  5.2 29.7    62.9    100.4   147.6
20  18.7    35.5    57.9    81.1    150.4
21  44.5    51.6    65.3    59.9    88.6
22  22.6    23.9    0   0   0
24  43.2    75.5    108 128.1   85.6
25  43.2    52.9    59.6    50.1    73.4
26  31  18.1    8.4 0   0
27  21.3    47.1    82.1    122.5   201.5
38  10.3    21.3    27.2    0   0
39  3.9 1.3 0   0   0
40  84.5    92.3    80.7    13.5    3.8
41  3.2 0   0   0   0
42  22.6    14.2    9.7 3.1 3.1
43  81.3    45.8    72  100.9   166.3
60  12.3    11.6    16  0   0
61  23.2    18.7    9.9 0   0
62  40  0   0   0   0
63  16.7    29.5    42.3    43.2    0.6
64  21.3    18.7    28  32.1    20.7
65  35.5    29.7    41.4    33.5    44
66  66.5    44.5    31.9    9.3 12.3
67  1.9 0   0   0   0
68  63.2    47.7    4.2 0   0
69  14.2    13.5    25.1    19.2    32.7
80  24.5    19.4    0   0   0
81  74.8    69  22.6    21.1    32
82  35.5    25.8    3.9 2.4 0
84  60  18.7    0   0   0
87  43.9    53.5    0   0   0
88  9.7 9.7 12.5    9.2 12.4
89  50.3    38.7    26.6    14.5    21.1
121 61.3    29  25.7    0   0
122 134.8   115.5   102.4   30  34.1
123 11.6    21.9    32.6    41.7    52.5
124 6.5 0   0   0   0
128 30.3    34.2    33.3    28.2    29
129 54.8    10.3    0   0   0
151 9   8.4 7.2 7.3 4.9
152 1.9 0.1 2.1 0   0
153 18.7    20.6    26.9    24.4    13.7
155 25.8    5.8 4.6 0   0
176 5.2 11.6    22.1    27  39.8
177 60  74.8    77.2    91.1    94.5
178 9   9   0   0   0
181 56.8    126.5   149 167.1   154.1
182 65.2    81.3    101.2   81.8    93.5
183 12.9    9   10.7    29.5    51.2
184 27.7    27.1    19.9    22.5    33.8
185 18.1    20  40.8    57  55.8
199 38.7    38.7    47.7    48  57
201 95.5    95.5    100 45.3    41.5
202 29  51  48.7    49  56.5
203 70.3    58.7    78  48.5    53.1
204 1.9 8.4 6.6 0   0
205 51  56.8    36.4    0   0
206 26.5    35.5    44.3    36.7    36.9
207 173.5   236.8   297.7   200 214.2
208 96.1    177.4   256.1   213.6   287.6
209 34.2    126.5   203.4   221.1   224.6
210 66.5    71  52.3    98.5    125.2
211 57.4    76.1    115.1   121.3   138.2
212 61.9    53.5    58.4    65  84.6
213 121.9   154.2   184.2   75.2    104
214 89.7    95.5    154.2   133.6   109.9
215 25.2    38.7    59.6    71.3    110.5
242 19.4    0   0   0   0
243 9   12.9    41  39.4    60.4
244 81.3    61.9    106.1   53.1    98.7
245 145.8   63.2    78  10.2    9.1
246 3.9 0   0   0   0
247 94.8    84.5    115.2   64.2    79.8
248 56.1    98.7    141.5   96.6    126.6
249 81.9    58.7    26.5    15.2    19.7
250 124.5   36.8    15.2    8.8 0
251 7.1 7.7 11.4    4.8 7.4
