"Year"    "Plant"   "Area"    "Seeds"
1987    19  62.9    113
1987    26  8.4 4
1987    27  82.1    31
1987    43  72  73
1987    60  16  42
1987    64  28  21
1987    65  41.4    19
1987    68  4.2 2
1987    69  25.1    8
1987    88  12.5    0
1987    89  26.6    4
1987    123 32.6    28
1987    152 2.1 2
1987    176 22.1    2
1987    182 101.2   41
1987    183 10.7    17
1987    204 6.6 0
1987    205 36.4    9
1987    206 44.3    16
1987    207 297.7   614
1987    209 203.4   218
1987    210 52.3    37
1987    212 58.4    17
1987    214 154.2   134
1987    244 106.1   46
1987    245 78  32
1987    247 115.2   57
1988    19  100.4   165
1988    20  81.1    71
1988    24  128.1   185
1988    25  50.1    79
1988    40  13.5    6
1988    64  32.1    44
1988    66  9.3 12
1988    69  19.2    20
1988    82  2.4 0
1988    123 41.7    46
1988    176 27  14
1988    177 91.1    72
1988    181 167.1   210
1988    183 29.5    65
1988    184 22.5    57
1988    185 57  23
1988    201 45.3    42
1988    203 48.5    44
1988    206 36.7    8
1988    208 213.6   212
1988    211 121.3   115
1988    215 71.3    20
1988    247 64.2    23
1988    250 8.8 0
1988    251 4.8 5
